experiment,dataset,method,n_clients,seed,metric,value,scenario
exp1_esn_sweep,narma10,,,,nrmse_mean,0.8280722959844535,"{""size"": 50.0, ""spectral_radius"": 0.1}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0119436739356529,"{""size"": 50.0, ""spectral_radius"": 0.1}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.8273481197901745,"{""size"": 50.0, ""spectral_radius"": 0.2}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0106437919088781,"{""size"": 50.0, ""spectral_radius"": 0.2}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.8268441700437832,"{""size"": 50.0, ""spectral_radius"": 0.3}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0115710395985364,"{""size"": 50.0, ""spectral_radius"": 0.3}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.8117442359950916,"{""size"": 50.0, ""spectral_radius"": 0.4}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0260732795706986,"{""size"": 50.0, ""spectral_radius"": 0.4}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.7102837348176296,"{""size"": 50.0, ""spectral_radius"": 0.5}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0896365873918541,"{""size"": 50.0, ""spectral_radius"": 0.5}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.6124569859483604,"{""size"": 50.0, ""spectral_radius"": 0.6}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0976115521721754,"{""size"": 50.0, ""spectral_radius"": 0.6}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.5559291523487477,"{""size"": 50.0, ""spectral_radius"": 0.7}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0856272307904687,"{""size"": 50.0, ""spectral_radius"": 0.7}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.5054908015428222,"{""size"": 50.0, ""spectral_radius"": 0.8}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0457967531786398,"{""size"": 50.0, ""spectral_radius"": 0.8}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.4788065814310484,"{""size"": 50.0, ""spectral_radius"": 0.9}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0317085626932384,"{""size"": 50.0, ""spectral_radius"": 0.9}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.4737493447307412,"{""size"": 50.0, ""spectral_radius"": 1.0}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0372746830207288,"{""size"": 50.0, ""spectral_radius"": 1.0}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.4786348328086779,"{""size"": 50.0, ""spectral_radius"": 1.1}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0448982226575479,"{""size"": 50.0, ""spectral_radius"": 1.1}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.530350067945243,"{""size"": 50.0, ""spectral_radius"": 1.2}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0878819299863075,"{""size"": 50.0, ""spectral_radius"": 1.2}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.6005551752396567,"{""size"": 50.0, ""spectral_radius"": 1.3}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.126317687620444,"{""size"": 50.0, ""spectral_radius"": 1.3}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.8278844734211722,"{""size"": 100.0, ""spectral_radius"": 0.1}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0113659101980199,"{""size"": 100.0, ""spectral_radius"": 0.1}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.8277326148287711,"{""size"": 100.0, ""spectral_radius"": 0.2}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0107673476646732,"{""size"": 100.0, ""spectral_radius"": 0.2}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.8282808152613284,"{""size"": 100.0, ""spectral_radius"": 0.3}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0118960449302087,"{""size"": 100.0, ""spectral_radius"": 0.3}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.7578452622863774,"{""size"": 100.0, ""spectral_radius"": 0.4}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0165467296783138,"{""size"": 100.0, ""spectral_radius"": 0.4}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.5542954229222354,"{""size"": 100.0, ""spectral_radius"": 0.5}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0246456198347623,"{""size"": 100.0, ""spectral_radius"": 0.5}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.473566673595548,"{""size"": 100.0, ""spectral_radius"": 0.6}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0122875990830417,"{""size"": 100.0, ""spectral_radius"": 0.6}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.4238594127458436,"{""size"": 100.0, ""spectral_radius"": 0.7}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0142068244477469,"{""size"": 100.0, ""spectral_radius"": 0.7}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.3866459704837421,"{""size"": 100.0, ""spectral_radius"": 0.8}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0093483291341233,"{""size"": 100.0, ""spectral_radius"": 0.8}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.3573750071215391,"{""size"": 100.0, ""spectral_radius"": 0.9}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0280697549214945,"{""size"": 100.0, ""spectral_radius"": 0.9}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.366601780894974,"{""size"": 100.0, ""spectral_radius"": 1.0}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0603344864926646,"{""size"": 100.0, ""spectral_radius"": 1.0}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.4312530578078868,"{""size"": 100.0, ""spectral_radius"": 1.1}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.1075598614711241,"{""size"": 100.0, ""spectral_radius"": 1.1}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.5419114954499153,"{""size"": 100.0, ""spectral_radius"": 1.2}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.1464297075395362,"{""size"": 100.0, ""spectral_radius"": 1.2}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.6121820016876656,"{""size"": 100.0, ""spectral_radius"": 1.3}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.1549161572565135,"{""size"": 100.0, ""spectral_radius"": 1.3}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.8280233096020438,"{""size"": 200.0, ""spectral_radius"": 0.1}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.011433332920184,"{""size"": 200.0, ""spectral_radius"": 0.1}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.827391700283161,"{""size"": 200.0, ""spectral_radius"": 0.2}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0110084623551626,"{""size"": 200.0, ""spectral_radius"": 0.2}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.8257619389167715,"{""size"": 200.0, ""spectral_radius"": 0.3}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0141923427493033,"{""size"": 200.0, ""spectral_radius"": 0.3}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.6498379409826367,"{""size"": 200.0, ""spectral_radius"": 0.4}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0575332734236404,"{""size"": 200.0, ""spectral_radius"": 0.4}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.4756456792855293,"{""size"": 200.0, ""spectral_radius"": 0.5}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.026208944636819,"{""size"": 200.0, ""spectral_radius"": 0.5}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.3601698882749832,"{""size"": 200.0, ""spectral_radius"": 0.6}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0402614225797427,"{""size"": 200.0, ""spectral_radius"": 0.6}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.2763876449910116,"{""size"": 200.0, ""spectral_radius"": 0.7}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0286215617933355,"{""size"": 200.0, ""spectral_radius"": 0.7}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.2372171132474701,"{""size"": 200.0, ""spectral_radius"": 0.8}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0246335445148242,"{""size"": 200.0, ""spectral_radius"": 0.8}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.2128655718004316,"{""size"": 200.0, ""spectral_radius"": 0.9}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0309295908950516,"{""size"": 200.0, ""spectral_radius"": 0.9}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.2146592065724406,"{""size"": 200.0, ""spectral_radius"": 1.0}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0272869143665301,"{""size"": 200.0, ""spectral_radius"": 1.0}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.2281413514878533,"{""size"": 200.0, ""spectral_radius"": 1.1}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0264080315404716,"{""size"": 200.0, ""spectral_radius"": 1.1}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.2589420636559603,"{""size"": 200.0, ""spectral_radius"": 1.2}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.037020047213094,"{""size"": 200.0, ""spectral_radius"": 1.2}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.3295717313788089,"{""size"": 200.0, ""spectral_radius"": 1.3}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0768642041732368,"{""size"": 200.0, ""spectral_radius"": 1.3}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.8279240730733217,"{""size"": 400.0, ""spectral_radius"": 0.1}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0114529556776829,"{""size"": 400.0, ""spectral_radius"": 0.1}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.8281889875501449,"{""size"": 400.0, ""spectral_radius"": 0.2}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0113132031213266,"{""size"": 400.0, ""spectral_radius"": 0.2}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.8204942195426096,"{""size"": 400.0, ""spectral_radius"": 0.3}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0121446435128775,"{""size"": 400.0, ""spectral_radius"": 0.3}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.5402021516939198,"{""size"": 400.0, ""spectral_radius"": 0.4}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0072206212943091,"{""size"": 400.0, ""spectral_radius"": 0.4}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.4190667190802939,"{""size"": 400.0, ""spectral_radius"": 0.5}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0108191823390687,"{""size"": 400.0, ""spectral_radius"": 0.5}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.2680083291682472,"{""size"": 400.0, ""spectral_radius"": 0.6}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0085723142045516,"{""size"": 400.0, ""spectral_radius"": 0.6}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.2024977047401101,"{""size"": 400.0, ""spectral_radius"": 0.7}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0115281113187862,"{""size"": 400.0, ""spectral_radius"": 0.7}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.165658837400807,"{""size"": 400.0, ""spectral_radius"": 0.8}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0074446746077862,"{""size"": 400.0, ""spectral_radius"": 0.8}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.1509686216359431,"{""size"": 400.0, ""spectral_radius"": 0.9}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0144090880692602,"{""size"": 400.0, ""spectral_radius"": 0.9}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.1447764748502379,"{""size"": 400.0, ""spectral_radius"": 1.0}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0138529478358427,"{""size"": 400.0, ""spectral_radius"": 1.0}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.1512868501141718,"{""size"": 400.0, ""spectral_radius"": 1.1}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0126084180120636,"{""size"": 400.0, ""spectral_radius"": 1.1}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.1812521137063718,"{""size"": 400.0, ""spectral_radius"": 1.2}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0140228776582074,"{""size"": 400.0, ""spectral_radius"": 1.2}"
exp1_esn_sweep,narma10,,,,nrmse_mean,0.2432311227094403,"{""size"": 400.0, ""spectral_radius"": 1.3}"
exp1_esn_sweep,narma10,,,,nrmse_std,0.0181577518762857,"{""size"": 400.0, ""spectral_radius"": 1.3}"
exp2_topology,narma10,random,,0.0,nrmse,0.2588597090584323,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 0}"
exp2_topology,narma10,random,,0.0,mean_degree,38.57,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 0}"
exp2_topology,narma10,random,,0.0,clustering,0.1939704697670435,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 0}"
exp2_topology,narma10,random,,0.0,avg_path_length,1.8066834170854271,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 0}"
exp2_topology,narma10,random,,1.0,nrmse,0.1974833390926753,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 1}"
exp2_topology,narma10,random,,1.0,mean_degree,38.61,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 1}"
exp2_topology,narma10,random,,1.0,clustering,0.1935106396818341,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 1}"
exp2_topology,narma10,random,,1.0,avg_path_length,1.806532663316583,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 1}"
exp2_topology,narma10,random,,2.0,nrmse,0.1895780624165541,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 2}"
exp2_topology,narma10,random,,2.0,mean_degree,38.35,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 2}"
exp2_topology,narma10,random,,2.0,clustering,0.1929669362775598,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 2}"
exp2_topology,narma10,random,,2.0,avg_path_length,1.8078391959798996,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 2}"
exp2_topology,narma10,random,,3.0,nrmse,0.2894563073456743,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 3}"
exp2_topology,narma10,random,,3.0,mean_degree,37.65,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 3}"
exp2_topology,narma10,random,,3.0,clustering,0.1906424705403767,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 3}"
exp2_topology,narma10,random,,3.0,avg_path_length,1.8110552763819092,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 3}"
exp2_topology,narma10,random,,4.0,nrmse,0.2385242855971882,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 4}"
exp2_topology,narma10,random,,4.0,mean_degree,36.97,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 4}"
exp2_topology,narma10,random,,4.0,clustering,0.1858837111083082,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 4}"
exp2_topology,narma10,random,,4.0,avg_path_length,1.8155276381909549,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 4}"
exp2_topology,narma10,random,,5.0,nrmse,0.2050195728759073,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 5}"
exp2_topology,narma10,random,,5.0,mean_degree,37.73,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 5}"
exp2_topology,narma10,random,,5.0,clustering,0.1905404084162558,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 5}"
exp2_topology,narma10,random,,5.0,avg_path_length,1.8112060301507535,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 5}"
exp2_topology,narma10,random,,6.0,nrmse,0.2597646452217781,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 6}"
exp2_topology,narma10,random,,6.0,mean_degree,37.95,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 6}"
exp2_topology,narma10,random,,6.0,clustering,0.1884962656742153,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 6}"
exp2_topology,narma10,random,,6.0,avg_path_length,1.809698492462312,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 6}"
exp2_topology,narma10,random,,7.0,nrmse,0.2494029889885469,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 7}"
exp2_topology,narma10,random,,7.0,mean_degree,38.25,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 7}"
exp2_topology,narma10,random,,7.0,clustering,0.1911567004481247,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 7}"
exp2_topology,narma10,random,,7.0,avg_path_length,1.8080402010050247,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 7}"
exp2_topology,narma10,small_world,,0.0,nrmse,0.2284259573887205,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 0}"
exp2_topology,narma10,small_world,,0.0,mean_degree,10.0,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 0}"
exp2_topology,narma10,small_world,,0.0,clustering,0.4920500333000333,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 0}"
